PLANT,MACHINE_ID,DATA_LABEL,TIME,SENSOR_ID,SENSOR_NAME,SENSOR_UNIT,VALUE,file_name
AAA,No.1,2024,2024-01-04 00:00:01,1005,Param_E,cm,100,User_data copy.csv
AAA,No.1,2024,2024-01-04 00:00:01,1006,Param　F,mm,100,User_data copy.csv
AAA,No.1,2024,2024-01-04 00:00:01,1003,Param_C,kg,100,User_data copy.csv
AAA,No.1,2024,2024-01-04 00:00:01,1004,Param_D,atm,100,User_data copy.csv
AAA,No.1,2024,2024-01-05 00:00:02,1005,Param_E,cm,100,User_data copy.csv
AAA,No.1,2024,2024-01-05 00:00:02,1006,Param　F,mm,100,User_data copy.csv
AAA,No.1,2024,2024-01-05 00:00:02,1003,Param_C,kg,100,User_data copy.csv
AAA,No.1,2024,2024-01-05 00:00:02,1004,Param_D,atm,100,User_data copy.csv
AAA,No.1,2024,2024-01-06 00:00:03,1005,Param_E,cm,100,User_data copy.csv
AAA,No.1,2024,2024-01-06 00:00:03,1006,Param　F,mm,100,User_data copy.csv
AAA,No.1,2024,2024-01-06 00:00:03,1003,Param_C,kg,100,User_data copy.csv
AAA,No.1,2024,2024-01-06 00:00:03,1004,Param_D,atm,100,User_data copy.csv
